 id                 , ticket_id          , event_type         , event_notes        , event_initiator_id , event_metadata     , edit_of            , is_deleted         , is_edited          , create_date        , update_date  
,, status_open                               ,,,,,,,,
,, status_application_rejected               ,,,,,,,,
,, received_call                             ,,,,,,,,
,, made_call                                 ,,,,,,,,
,, sent_more_data_email                      ,,,,,,,,
,, received_email                            ,,,,,,,,
,, assigned_ticket                           ,,,,,,,,
,, sent_missed_call_email                    ,,,,,,,,
,, status_resolved                           ,,,,,,,,
,, general_note                              ,,,,,,,,
,, status_loan_contracts_signed              ,,,,,,,,
,, sent_email                                ,,,,,,,,
,, sent_email_manual                         ,,,,,,,,
,, received_inbound_email                    ,,,,,,,,
,, forwarded_inbound_email                   ,,,,,,,,
,, removed_kyc_limits                        ,,,,,,,,
,, changed_kyc_limit                         ,,,,,,,,
,, credit_card_declined                      ,,,,,,,,
,, auto_rejected                             ,,,,,,,,
,, sent_auto_rejected_email                  ,,,,,,,,
,, reopened_application                      ,,,,,,,,
,, visited_site                              ,,,,,,,,
,, received_bank_approval                    ,,,,,,,,
,, sent_credit_report_to_bank                ,,,,,,,,
,, sent_documents_to_bank                    ,,,,,,,,
,, deposited_checks                          ,,,,,,,,
,, received_money_from_bank                  ,,,,,,,,
,, added_watcher_to_ticket                   ,,,,,,,,
,, removed_watcher_from_ticket               ,,,,,,,,
,, automatically_opened                      ,,,,,,,,
,, sent_short_with_checks_and_business_email ,,,,,,,,
,, automatically_reopened                    ,,,,,,,,
,, changed_customer_info                     ,,,,,,,,
,, scheduled_followup                        ,,,,,,,,
,, unscheduled_followup                      ,,,,,,,,
,, status_application_pending                ,,,,,,,,
,, performed_ofac_check                      ,,,,,,,,
,, status_campaign_cancelled                 ,,,,,,,,
,, status_loan_written_off                   ,,,,,,,,
,, status_application_completed              ,,,,,,,,
,, status_application_approved               ,,,,,,,,
,, status_application_expired                ,,,,,,,,
,, status_loan_defaulted  ,,,,,,,,
